rcid,country_code,disaster_before_vote,number_disasters,total_affected
9140,BR,1,8,10049020
9140,BN,0,0,0
9140,BG,0,0,0
9140,BF,0,0,0
9140,BI,1,1,10
9140,CV,0,0,0
9140,KH,1,1,435012
9140,CM,0,0,0
9140,CA,1,1,19501
9140,CF,1,1,44918
9140,TD,1,1,423
9140,CL,1,1,606
9140,CN,1,7,4887646
9140,CO,1,4,39931
9140,CG,1,2,213000
9140,CI,1,1,14658
9140,HR,1,1,66
9140,CU,0,0,0
9140,CY,0,0,0
9140,CZ,0,0,0
9140,KP,1,1,10100000
9140,DK,0,0,0
9140,DJ,1,1,250011
9140,DM,0,0,0
9140,DO,0,0,0
9140,EC,1,1,3014
9140,EG,0,0,0
9140,SV,0,0,0
9140,ER,0,0,0
9140,EE,0,0,0
9140,SZ,0,0,0
9140,ET,1,1,200000
9140,FJ,0,0,0
9140,FI,0,0,0
9140,FR,1,2,1110
9140,GA,0,0,0
9140,GM,0,0,0
9140,GE,1,1,5088
9140,DE,0,0,0
9140,GH,1,2,26134
9140,GR,0,0,0
9140,GD,0,0,0
9140,GT,0,0,0
9140,GN,0,0,0
9140,GW,0,0,0
9140,GY,0,0,0
9140,HT,1,2,4447
9140,HN,0,0,0
9140,HU,0,0,0
9140,IS,0,0,0
9140,IN,1,5,3072083
9140,ID,1,11,428037
9140,IR,1,3,10001278
9140,IQ,1,1,5875
9140,IE,0,0,0
9140,IL,0,0,0
9140,IT,1,1,1200
9140,JM,0,0,0
9140,JP,1,3,1185
9140,JO,0,0,0
9140,KZ,0,0,0
9140,KE,1,2,2833429
9140,KI,0,0,0
9140,KW,0,0,0
9140,KG,0,0,0
9140,LA,1,2,507519
9140,LV,0,0,0
9140,LS,0,0,0
9140,LR,0,0,0
9140,LY,1,1,20034
9140,LI,0,0,0
9140,LT,0,0,0
9140,LU,0,0,0
9140,MG,1,1,9
9140,MW,1,2,991706
9140,MY,1,4,22479
9140,MV,1,1,1800
9140,ML,1,2,6996
9140,MT,0,0,0
9140,MH,0,0,0
9140,MR,1,1,33603
9140,MU,0,0,0
9140,MX,1,3,3654
9140,FM,0,0,0
9140,MC,0,0,0
9140,MN,1,1,512
9140,ME,0,0,0
9140,MA,1,2,253
9140,MZ,1,2,63028
9140,MM,1,2,8190
9140,NA,0,0,0
9140,NR,0,0,0
9140,NP,1,1,82660
9140,NL,0,0,0
9140,NZ,0,0,0
9140,NI,0,0,0
9140,NG,1,2,71164
9140,MK,0,0,0
9140,NO,0,0,0
9140,OM,1,1,6
9140,PK,1,9,4682092
9140,PW,0,0,0
9140,PA,0,0,0
9140,PG,1,1,352
9140,PY,1,4,525237
9140,PE,1,4,9340
9140,PH,1,2,61000
9140,PL,0,0,0
9140,PT,0,0,0
9140,QA,0,0,0
9140,KR,1,1,3036
9140,MD,0,0,0
9140,RO,1,1,366
9140,RU,1,5,50263
9140,RW,1,1,5409
9140,KN,0,0,0
9140,LC,0,0,0
9140,VC,0,0,0
9140,WS,0,0,0
9140,SM,0,0,0
9140,SA,1,3,1438
9140,SN,1,1,8974
9140,YU,0,0,0
9140,SC,0,0,0
9140,SL,1,2,10388
9140,SG,0,0,0
9140,SK,0,0,0
9140,SI,0,0,0
9140,SB,0,0,0
9140,ZA,1,5,754598
9140,ES,1,4,3520
9140,LK,1,6,754695
9140,SD,1,2,352576
9140,SR,0,0,0
9140,SE,0,0,0
9140,CH,0,0,0
9140,SY,1,1,235002
9140,TJ,1,1,6754
9140,TH,1,2,158019
9140,TL,0,0,0
9140,TG,0,0,0
9140,TT,0,0,0
9140,TN,0,0,0
9140,TR,1,3,15308
9140,TM,0,0,0
9140,TV,0,0,0
9140,UG,1,5,78727
9140,UA,0,0,0
9140,AE,0,0,0
9140,GB,1,1,101
9140,TZ,1,4,5047
9140,US,1,6,17878
9140,UY,1,3,13103
9140,UZ,0,0,0
9140,VU,0,0,0
9140,VE,1,1,2006
9140,VN,1,6,810623
